id,date_time,item_category,item_name,item_description,uom_id,units,store_id,user_id,cost,
2605,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 19 mm Zoloto / Bull / Idal",,12,1,14,0,12,
2606,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 25 mm Zoloto / Bull / Idal",,12,1,14,0,6,
2607,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 32 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2608,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 40 mm Zoloto / Bull / Idal",,12,1,14,0,7,
2609,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 50 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2610,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 65 mm Zoloto / Bull / Idal",,12,1,14,0,3,
2611,2018-03-06,9,"Gunmetal Gate (GM peet) valve as per IS - 778 Class - I, Indian make heavy type 80 mm Zoloto / Bull / Idal",,12,1,14,0,2,
2612,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 15 mm Zoloto / Bull / Idal,,12,1,14,0,8,
2613,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 20 mm Zoloto / Bull / Idal,,12,1,14,0,0,
2614,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 25 mm Zoloto / Bull / Idal,,12,1,14,0,2,
2615,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 32 mm Zoloto / Bull / Idal,,12,1,14,0,7,
2616,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 40 mm Zoloto / Bull / Idal,,12,1,14,0,2,
2617,2018-03-06,9,Gunmetal (GM) Horizontal Check (Non return) Valve as per IS-778 I-class heavy duty 50 mm Zoloto / Bull / Idal,,12,1,14,0,14,
2618,2018-03-06,9,"Supply, Delivery of G.I double flanged Sluice Valves conforming to IS- 14846 (with up to date amendments, if any) including gear arrangements for the following dia. as per test pressure having Body, Bonnet, Dome, Stool cover, Wedge, Stufffing box, Gland, Thrust plate, Cap/Hand wheel with D.I; ","Stem, Body seat
ring, Wedge facing ring, Bushes, Bolts, Nuts, Pinion and Pinion shaft with Stainless steel (IS 6603) ; Wedge nut, Shoe, Channel with Leaded Tin Bronze ( IS 318 ); Gasket with Neoprene Rubber; Gland packing with Rubber; Gear, Gear housing with Cast Steel excluding all taxes and transportation, etc. complete. 50mm",12,1,14,0,0,
2619,2018-03-06,9,flanged Sluice  100mm,,12,1,14,0,0,
2620,2018-03-06,9,flanged Sluice  150mm,,12,1,14,0,0,
2621,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 15 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2622,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 19 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2623,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 25 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2624,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 32 mm Zoloto / Bull / Idal",,12,1,14,0,0,
2625,2018-03-06,9,"Gunmetal (GM) Ball valve with SS Ball and SS Spindle as per IS - Class - I, Indian make heavy type 40 mm Zoloto / Bull / Idal",,12,1,14,0,0,
