,,06-01-2018,06-02-2018,06-03-2018,06-04-2018,06-05-2018,06-06-2018,06-07-2018,06-08-2018,06-09-2018,06-10-2018,06-11-2018,06-12-2018,6/13/2018,6/14/2018,6/15/2018,6/16/2018,6/17/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/23/2018,6/24/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,6/30/2018
13,PEF_PER,20,25,,47,65,65,65,65,40,,19,24,29,34,39,44,,49,54,55,59,60,60,,60,60,60,60,60,60
13.1,PP_PCS,1302,1470,,1639,1807,1855,1976,2023,2023,,2023,2023,2023,2023,2023,2020,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2021,2023,2023
13.1,SAH_HRS,84,95,,106,117,120,127,131,131,,131,131,131,131,131,130,,131,131,131,131,131,131,,131,131,131,130,131,131
13.1,PEF_PER,39,44,,49,54,55,59,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
15,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2024,2023,,2022,2023,2023,2023,2023,2023
15,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,130,131,131,131,131,131
15,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
15.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2024,2023
15.1,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
15.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
16,PP_PCS,2023,2023,,2023,2023,2023,2023,2020,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2021,,2023,2023,2023,2023,2023,2023
16,SAH_HRS,131,131,,131,131,131,131,130,131,,131,131,131,131,131,131,,131,131,131,131,131,130,,131,131,131,131,131,131
16,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
16.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2022,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023
16.1,SAH_HRS,131,131,,131,131,131,131,130,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
16.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
14,PP_PCS,2196,2198,,2198,2201,2198,2196,2195,2198,,2195,2199,2198,2196,2198,2198,,2195,2198,2196,2195,2197,2198,,2197,2196,2198,2201,2202,2203
14,SAH_HRS,141,141,,141,142,141,141,141,141,,141,142,141,141,141,141,,141,141,141,141,141,141,,141,141,141,142,141,141
14,PEF_PER,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65
14.1,PP_PCS,2626,2837,,2853,2872,2875,2875,2878,2875,,2875,2876,2875,2868,2872,2844,,2847,2868,2877,2864,2867,2872,,2873,2874,2873,2879,2877,2866
14.1,SAH_HRS,130,140,,141,141,141,141,141,141,,141,141,141,141,141,141,,142,141,142,141,141,141,,141,141,141,142,141,141
14.1,PEF_PER,52,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65
