Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
45,2,SAH_HRS,0,0,0,56,168,168,0,168,168,168,157,168,168,0,0,0,0,168,168,168,0,168,168,168,168,0,168,0,168,168,168
46,2,PP_PCS,0,0,0,763,2653,2653,0,2653,2651,2653,2476,2656,2653,0,0,0,0,2653,2653,2653,0,2650,2653,2653,2653,0,2653,0,2653,2653,2187
46,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,70,70,36
46,2,SAH_HRS,0,0,0,48,168,168,0,168,168,168,157,168,168,0,0,0,0,168,168,168,0,168,168,168,168,0,168,0,168,168,139
48,2,PP_PCS,0,0,0,1078,2653,2653,0,2653,2653,2653,2476,2653,2649,0,0,0,0,2653,2653,2650,0,0,0,0,0,0,0,0,0,0,0
48,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,0,0,0,0,0,0,0,0,0,0
48,2,SAH_HRS,0,0,0,68,168,168,0,168,168,168,157,168,168,0,0,0,0,168,168,168,0,0,0,0,0,0,0,0,0,0,0
54,2,PP_PCS,0,0,0,793,2534,2696,0,2857,3014,3018,2817,3018,3018,0,0,0,0,497,999,1500,0,2001,2003,2001,2003,0,2003,0,2003,2003,2003
54,2,PEF_PER,0,0,0,55,59,63,0,66,70,70,70,70,70,0,0,0,0,43,32,49,0,65,65,65,65,0,65,0,65,65,65
54,2,SAH_HRS,0,0,0,44,141,150,0,159,168,168,157,168,168,0,0,0,0,39,78,117,0,156,156,156,156,0,156,0,156,156,156
63,2,PP_PCS,848,0,0,719,2839,2839,0,778,1412,2134,2666,2924,2986,0,0,0,0,3037,3040,500,0,1001,1502,2003,2003,0,2003,0,2005,2003,2003
63,2,PEF_PER,70,0,0,70,70,70,0,43,34,52,69,71,72,0,0,0,0,74,75,16,0,33,49,65,65,0,65,0,65,65,65
63,2,SAH_HRS,50,0,0,43,168,168,0,45,82,124,155,170,174,0,0,0,0,177,177,39,0,78,117,156,156,0,156,0,156,156,156
0,2,PP_PCS,6155,1996,0,22520,73558,66600,0,66364,72251,75649,72155,78123,78609,0,0,0,0,74024,67622,65555,0,66530,63360,63956,60690,0,59878,0,61258,61544,60580
0,2,PEF_PER,70,70,0,69,66,62,0,58,65,67,70,70,71,0,0,0,0,67,62,62,0,63,66,63,60,0,64,0,62,63,60
0,2,SAH_HRS,349,110,0,1174,3958,3607,0,3582,3897,4097,3912,4239,4267,0,0,0,0,4037,3740,3696,0,3824,3701,3777,3643,0,3634,0,3806,3851,3820
4,2,PP_PCS,0,0,0,0,453,4139,0,4137,4139,4139,3862,920,1686,0,0,0,0,2540,3394,3416,0,1011,1763,2674,3586,0,3635,0,3630,3630,3636
4,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,70,44,35,0,0,0,0,52,70,70,0,43,34,51,69,0,70,0,70,70,70
4,2,SAH_HRS,0,0,0,0,21,189,0,189,189,189,176,50,93,0,0,0,0,141,188,189,0,53,92,139,186,0,189,0,189,189,189
6,2,PP_PCS,0,0,262,0,3424,4139,0,4139,4139,2714,1097,2351,3528,0,0,0,0,4704,2848,4233,0,855,1571,2362,3154,0,3164,0,3168,3169,3169
6,2,PEF_PER,0,0,70,0,70,70,0,70,70,70,17,35,52,0,0,0,0,70,45,56,0,44,35,52,70,0,70,0,70,70,70
6,2,SAH_HRS,0,0,12,0,156,189,0,189,189,124,44,94,142,0,0,0,0,189,110,150,0,49,94,141,188,0,189,0,189,189,189
7,2,PP_PCS,0,0,0,316,1426,4134,0,4139,4139,3932,1241,2660,3991,0,0,0,0,5322,5324,1730,0,2186,2938,3175,3382,0,3583,0,3790,3805,3811
7,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,17,35,52,0,0,0,0,70,70,48,0,40,54,58,62,0,66,0,70,70,70
7,2,SAH_HRS,0,0,0,14,65,189,0,189,189,180,44,94,142,0,0,0,0,189,189,80,0,109,146,158,168,0,178,0,188,189,189
8,2,PP_PCS,0,0,0,0,1432,4154,0,4154,4150,4154,3881,4160,4154,0,0,0,0,4154,4154,4154,0,4154,3761,1288,1899,0,2462,0,2626,2793,2959
8,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,43,29,43,0,55,0,59,63,67
8,2,SAH_HRS,0,0,0,0,65,189,0,189,189,189,177,189,189,0,0,0,0,189,189,189,0,189,172,78,115,0,150,0,160,170,180
9,2,PP_PCS,0,0,3001,3355,3350,3355,0,3360,3358,3358,3131,3353,3355,0,0,0,0,3352,3351,3355,0,3355,1812,1621,2231,0,2550,0,2713,2886,3054
9,2,PEF_PER,0,0,70,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,46,37,50,0,57,0,61,65,69
9,2,SAH_HRS,0,0,169,189,189,189,0,189,189,189,176,189,189,0,0,0,0,189,189,189,0,189,105,99,136,0,155,0,165,176,186
12,2,PP_PCS,0,0,0,107,0,0,0,791,1583,2375,2956,3168,3172,0,0,0,0,3168,3168,3164,0,3168,3164,3169,3168,0,3168,0,3168,3168,3168
12,2,PEF_PER,0,0,0,70,0,0,0,17,35,52,70,70,70,0,0,0,0,70,70,70,0,70,70,70,70,0,70,0,70,70,70
12,2,SAH_HRS,0,0,0,7,0,0,0,47,94,142,176,189,189,0,0,0,0,189,189,189,0,189,189,189,189,0,189,0,189,189,189
17,2,PP_PCS,0,0,0,0,621,4125,0,2554,4145,4139,2315,1532,2596,0,0,0,0,3651,4295,4293,0,4298,4295,4295,4295,0,4294,0,4301,4301,4295
17,2,PEF_PER,0,0,0,0,70,70,0,70,70,70,39,25,42,0,0,0,0,60,70,70,0,70,70,70,70,0,70,0,70,70,70
17,2,SAH_HRS,0,0,0,0,28,188,0,117,189,189,105,67,114,0,0,0,0,161,189,189,0,189,189,189,189,0,189,0,189,189,189
18,2,PP_PCS,0,0,0,53,1512,3533,0,3532,3538,3533,3297,3534,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,SAH_HRS,0,0,0,3,81,189,0,189,189,189,176,189,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,PP_PCS,0,0,115,61,1395,4154,0,4154,4154,4154,3881,4154,2931,0,0,0,0,1283,1925,2567,0,2743,2919,3096,3266,0,3268,0,3268,3268,3271
